,Gewässer,Name allg. gebr.,Kategorie,Badestellenlänge,Kreis Name,Längengrad,Breitengrad,Mögliche Belastungen,Barrierefrei,Wlan,ÖPNV,Baden ohne Aufsicht,Baden m. zeitw. Aufsicht,Eintritt,Liegeplätze ohne Schatten,Liegeplätze mit Schatten,Toiletten,Dusche,Umkleiden,Parken ohne Gebühren,Parken mit Gebühren,Strandkorbverleih,Campingplatz,Spielplatz,Gaststätte,Kiosk,Rudern,Tretboot,Surfen,Segeln,FKK-Strand,Hundestrand,Grillplatz
1,DESH_PR_0002,Flensburg Solitüde,Küstengewässer,520,"Flensburg, Stadt",9.48958636703102,54.8245499391828,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
4,DESH_PR_0005,Kiel Düsternbrook,Küstengewässer,100,"Kiel, Landeshauptstadt",10.1548657594112,54.3482084665027,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
48,DESH_PR_0080,"Timmendorf, Niendorf",Küstengewässer,2165,Ostholstein,10.8266346683012,53.9956578342059,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
51,DESH_PR_0083,Haffkrug,Küstengewässer,1900,Ostholstein,10.7527903359768,54.0498228094321,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
52,DESH_PR_0084,Sierksdorf,Küstengewässer,2100,Ostholstein,10.7750780891435,54.0670699905263,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
54,DESH_PR_0086,"Neustadt, Pelzerhaken",Küstengewässer,700,Ostholstein,10.8591266484782,54.0899808061607,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
55,DESH_PR_0087,Rettin,Küstengewässer,1000,Ostholstein,10.8919521799265,54.095641042242,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
57,DESH_PR_0090,Lenste,Küstengewässer,5390,Ostholstein,11.0143614218471,54.1653299341144,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
62,DESH_PR_0099,Weißenhäuser Strand,Küstengewässer,6000,Ostholstein,10.7933064253144,54.3147655346517,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
147,DESH_PR_0249,Wassersleben,Küstengewässer,500,Schleswig-Flensburg,9.42155448048143,54.8284449155983,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
148,DESH_PR_0250,Glücksburger Strand,Küstengewässer,500,Schleswig-Flensburg,9.53130317582624,54.8433498438572,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
155,DESH_PR_0266,"Schlei, Schleswig Luisenbad",Küstengewässer,100,Schleswig-Flensburg,9.55990447526464,54.5126324634892,Zerkarien,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
