Name,Latitude,Longitude
Flensburg Amrumer Straße,54.760085,9.39771
Flensburg Amrumer Straße,54.760085,9.39771
Flensburg Kauslund Osterallee,54.803154,9.487795
Flensburg Kauslund Osterallee,54.803154,9.487795
Flensburg Lise-Meitner-Straße,54.760474,9.44108
Flensburg Lise-Meitner-Straße,54.760474,9.44108
Flensburg Stadtwerke,54.805865,9.431493
Flensburg Stadtwerke,54.805865,9.431493
Flensburg Grundschule Engelsby,54.791098,9.472028
Flensburg Idraetshalle,54.788446,9.424574
Flensburg Idraetshalle,54.788446,9.424574
Flensburg Pielweg,54.770836,9.46765
Flensburg Pielweg,54.770836,9.46765
Flensburg Pielweg,54.770836,9.46765
Flensburg-Hesttoft,54.79532,9.461835
Flensburg-Hesttoft,54.79532,9.461835
Flensburg Christian-Paulsen-Skolen,54.78211,9.429856
Flensburg Christian-Paulsen-Skolen,54.78211,9.429856
Flensburg Christian-Paulsen-Skolen,54.78211,9.429856
Tarup Ortsausgang,54.777645,9.488856
Tarup Ortsausgang,54.777645,9.488856
Flensburg Grundschule Engelsby,54.792121,9.473132
Flensburg Grundschule Engelsby,54.791098,9.472028
Flensburg Grundschule Engelsby,54.791098,9.472028
Flensburg,54.774039,9.436526
Flensburg,54.774039,9.436526
Flensburg Abzw. Förde-Park,54.761688,9.435152
Flensburg Abzw. Förde-Park,54.761965,9.435177
Flensburg Abzw. Sünderup,54.774403,9.469746
Flensburg Abzw. Sünderup,54.774403,9.469746
Flensburg Adelby Schule,54.781118,9.466143
Flensburg Adelby Schule,54.781118,9.466143
Flensburg Adelby Schule,54.780996,9.466196
Flensburg Adelby/Kirche,54.781937,9.465981
Flensburg Adelby/Kirche,54.78198,9.46599
Flensburg Adelby/Kirche,54.781894,9.465972
Flensburg Adelbyer Kirchenweg,54.789716,9.456281
Flensburg Adelbyer Kirchenweg,54.789716,9.456281
Flensburg Adelbyer Kirchenweg,54.78972,9.456281
Flensburg Adelbylund/Mühle,54.782535,9.449087
Flensburg Adelbylund/Mühle,54.782535,9.449087
Flensburg Adelbylund/Mühle,54.782535,9.449079
Flensburg Alsterbogen,54.798897,9.463702
Flensburg Alsterbogen,54.798897,9.463702
Flensburg Alsterbogen,54.798583,9.464003
Flensburg Alter Kupfermühlenweg,54.807937,9.419079
Flensburg Alter Kupfermühlenweg,54.807937,9.419079
Flensburg Alter Kupfermühlenweg,54.807966,9.419162
Flensburg Altes Gymnasium,54.788385,9.428057
Flensburg Altes Gymnasium,54.788385,9.428057
Flensburg Altes Gymnasium,54.788398,9.428057
Flensburg Am Bauernhof,54.810679,9.472389
Flensburg Am Bauernhof,54.810679,9.472389
Flensburg Am Bauernhof,54.810651,9.47238
Flensburg Am Industriehafen,54.799968,9.441556
Flensburg Am Industriehafen,54.799968,9.441556
Flensburg Am Industriehafen,54.799747,9.44101
Flensburg Am Katharinenhof,54.802324,9.410859
Flensburg Am Katharinenhof,54.802324,9.410859
Flensburg Am Katharinenhof,54.802364,9.410937
Flensburg Am Lachsbach,54.813315,9.421948
Flensburg Am Lachsbach,54.813315,9.421948
Flensburg Am Lachsbach,54.813125,9.421783
Flensburg Am Ochsenmarkt,54.781953,9.416442
Flensburg Am Ochsenmarkt,54.781977,9.415385
Flensburg Am Ochsenmarkt,54.782013,9.416606
Flensburg Am Ochsenmarkt,54.782515,9.417397
Flensburg Am Ochsenmarkt,54.782036,9.415409
Flensburg Am Sophienhof,54.763745,9.416061
Flensburg Am Sophienhof,54.763657,9.415999
Flensburg Am Sophienhof,54.763869,9.416114
Flensburg Angelburger Straße,54.782945,9.43947
Flensburg Angelburger Straße,54.783298,9.439416
Flensburg Angelburger Straße,54.782745,9.439348
Flensburg Bahnhof,54.774968,9.436714
Flensburg Bahnhof,54.774968,9.436714
Flensburg Bahnhof,54.77486,9.436822
Flensburg Bahnhof,54.774899,9.436946
Flensburg Bahnhof/Serpentine,54.775009,9.435222
Flensburg Bahnhof/Serpentine,54.775009,9.435222
Flensburg Bahnhof/Serpentine,54.774891,9.4353
Flensburg Bahnhof/Tegelbarg,54.773951,9.434651
Flensburg Bahnhof/Tegelbarg,54.773951,9.434651
Flensburg Ballastbrücke,54.792854,9.438462
Flensburg Ballastbrücke,54.79297,9.4385
Flensburg Ballastbrücke,54.793482,9.438967
Flensburg Bauer Landstraße,54.800131,9.422913
Flensburg Bauer Landstraße,54.800112,9.422862
Flensburg Bauer Landstraße,54.800156,9.422977
Flensburg Betriebshof AFAG,54.776553,9.393406
Flensburg Betriebshof AFAG,54.776553,9.393406
Flensburg Blasberg,54.798149,9.452931
Flensburg Blasberg,54.798149,9.452931
Flensburg Blasberg,54.798372,9.453236
Flensburg Bohlberg,54.795204,9.449624
Flensburg Bohlberg,54.795204,9.449624
Flensburg Bohlberg,54.79515,9.449506
Flensburg Boreasmühle,54.77474,9.40136
Flensburg Boreasmühle,54.77474,9.40136
Flensburg Brahmsstraße,54.790929,9.472073
Flensburg Brahmsstraße,54.790929,9.472073
Flensburg Brahmsstraße,54.790756,9.472008
Flensburg Bredstedter Straße,54.759461,9.408405
Flensburg Bredstedter Straße,54.759461,9.408405
Flensburg Bredstedter Straße,54.759438,9.408443
Flensburg Burgplatz,54.790998,9.425977
Flensburg Burgplatz,54.790998,9.425977
Flensburg Burgplatz,54.791043,9.425907
Flensburg Burgplatz,54.791231,9.424805
Flensburg Burgplatz,54.791345,9.425771
Flensburg Hochschule,54.775302,9.446951
Flensburg Hochschule,54.775302,9.446951
Flensburg Hochschule,54.7752,9.446921
Flensburg Hochschule,54.775362,9.446901
Flensburg Campus Uni,54.776598,9.455263
Flensburg Campus Uni,54.776598,9.455263
Flensburg Campus Uni,54.77675,9.458032
Flensburg Campus Uni,54.776598,9.455263
Flensburg Campusbad,54.776341,9.452073
Flensburg Campusbad,54.776341,9.452073
Flensburg Campusbad,54.776341,9.452073
Flensburg Campusbad,54.776341,9.452073
Flensburg Campusbad,54.776303,9.452632
Flensburg Citti-Park,54.773049,9.395064
Flensburg Citti-Park,54.773049,9.395064
Flensburg Citti-Park,54.773156,9.39494
Flensburg Citti-Park/Westerallee,54.775042,9.394711
Flensburg Citti-Park/Westerallee,54.775637,9.393643
Flensburg Citti-Park/Westerallee,54.774936,9.396078
Flensburg Citti-Park/Westerallee,54.774546,9.394458
Flensburg Comenius-Schule,54.802051,9.41448
Flensburg Comenius-Schule,54.802051,9.41448
Flensburg Comenius-Schule,54.802051,9.41448
Flensburg Cornelius-Hansen-Skolen,54.803557,9.420042
Flensburg Cornelius-Hansen-Skolen,54.803557,9.420042
Flensburg Deutsches Haus,54.780977,9.437572
Flensburg Deutsches Haus,54.780977,9.437572
Flensburg Diblerstraße,54.773105,9.43001
Flensburg Diblerstraße,54.773105,9.43001
Flensburg Duborg-Skolen,54.793947,9.429582
Flensburg Duborg-Skolen,54.793947,9.429582
Flensburg Duborg-Skolen,54.790713,9.426448
Flensburg Duburger Straße,54.793369,9.425487
Flensburg Duburger Straße,54.793369,9.425487
Flensburg Eckernförder Landstraße,54.770185,9.437223
Flensburg Eckernförder Landstraße,54.770185,9.437223
Flensburg Eckernförder Landstraße,54.770225,9.437277
Flensburg Exe,54.778028,9.424859
Flensburg Exe,54.778028,9.424859
Flensburg Exe,54.777976,9.424651
Flensburg Falkenberg,54.784113,9.409492
Flensburg Falkenberg,54.784113,9.409492
Flensburg Falkenbergschule,54.782363,9.408604
Flensburg Falkenbergschule,54.782363,9.408604
Flensburg Falkenbergschule,54.782363,9.408604
Flensburg Finanzamt,54.792726,9.424137
Flensburg Finanzamt,54.792726,9.424137
Flensburg Finanzamt,54.792721,9.424129
Flensburg Flurstraße,54.791375,9.418345
Flensburg Flurstraße,54.791375,9.418345
Flensburg Flurstraße,54.791731,9.417999
Flensburg Flurstraße,54.791415,9.418353
Flensburg Flurstraße,54.79146,9.418392
Flensburg Franz-Schubert-Hof,54.789067,9.468968
Flensburg Franz-Schubert-Hof,54.789067,9.468968
Flensburg Franz-Schubert-Hof,54.789098,9.469711
Flensburg Fridtjof-Nansen-Schule,54.803312,9.463342
Flensburg Fridtjof-Nansen-Schule,54.803312,9.463342
Flensburg Friedenshügel,54.775551,9.4059
Flensburg Friedenshügel,54.775551,9.4059
Flensburg Friedenshügel,54.775675,9.406515
Flensburg Friedheim,54.805428,9.473938
Flensburg Friedheim,54.805428,9.473938
Flensburg Friedheim,54.805329,9.473998
Flensburg Friedheimschule,54.81187,9.476697
Flensburg Friedheimschule,54.81187,9.476697
Flensburg Friedheimschule,54.81187,9.476697
Flensburg Friholtschule/Elbestraße,54.800727,9.464946
Flensburg Friholtschule/Elbestraße,54.800727,9.464946
Flensburg Friholtschule/Elbestraße,54.800727,9.464946
Flensburg Friholtschule/Ringstraße,54.780384,9.466239
Flensburg Friholtschule/Ringstraße,54.780384,9.466239
Flensburg Friholtschule/Ringstraße,54.780385,9.466236
Flensburg Fruerlundholz,54.80094,9.459037
Flensburg Fruerlundholz,54.801052,9.459155
Flensburg Fruerlundholz,54.800829,9.458919
Flensburg Fruerlundmühle,54.79064,9.458983
Flensburg Fruerlundmühle,54.79064,9.458983
Flensburg Fruerlundmühle,54.790622,9.458982
Flensburg Fruerlundschule,54.793901,9.456873
Flensburg Fruerlundschule,54.793901,9.456873
Flensburg Fruerlundschule,54.793901,9.456873
Flensburg Frösleeweg,54.805499,9.406131
Flensburg Frösleeweg,54.805499,9.406131
Flensburg Frösleeweg,54.805377,9.406191
Flensburg Fuchskuhle,54.764144,9.435199
Flensburg Fuchskuhle,54.763995,9.435125
Flensburg Fuchskuhle,54.764144,9.435199
Flensburg Förde-Park,54.76072,9.434972
Flensburg Förde-Park,54.760919,9.434947
Flensburg Förde-Park Abzw.,54.761853,9.435192
Flensburg Förde-Park Abzw.,54.761232,9.435197
Flensburg Förde Park Abzw.,54.761126,9.437218
Flensburg Abzw. Förde-Park,54.761633,9.435247
Flensburg Fördebrücke,54.789665,9.433967
Flensburg Fördebrücke,54.789665,9.433967
Flensburg Fördebrücke,54.789698,9.433918
Flensburg Fördebrücke,54.789428,9.434102
Flensburg Fördegymnasium,54.802636,9.463797
Flensburg Fördegymnasium,54.802636,9.463797
Flensburg Försterstieg,54.759125,9.390445
Flensburg Försterstieg,54.759125,9.390445
Flensburg Försterstieg,54.759138,9.390398
Flensburg Gartenstadtallee,54.759593,9.377217
Flensburg Gartenstadtallee,54.759593,9.377217
Flensburg Gasstraße,54.799075,9.424987
Flensburg Gasstraße,54.799075,9.424987
Flensburg Gemeinschaftsschule West,54.776897,9.422339
Flensburg Gemeinschaftsschule West,54.776897,9.422339
Flensburg Gemeinschaftsschule West,54.776897,9.422339
Flensburg Gertrudenstraße,54.791389,9.420966
Flensburg Gertrudenstraße,54.791389,9.420966
Flensburg Gertrudenstraße,54.791407,9.420833
Flensburg Glashütte,54.805954,9.423358
Flensburg Glashütte,54.805954,9.423358
Flensburg Glashütte,54.805696,9.423448
Flensburg Goerdelerstraße,54.784518,9.413337
Flensburg Goerdelerstraße,54.784518,9.413337
Flensburg Goerdelerstraße,54.784418,9.41346
Flensburg Goetheschule,54.786837,9.442471
Flensburg Goetheschule,54.786837,9.442471
Flensburg Goetheschule,54.786837,9.442471
Flensburg Gustav-Johannsen-Skole,54.793605,9.419659
Flensburg Gustav-Johannsen-Skole,54.793605,9.419659
Flensburg Gustav-Johannsen-Skole,54.794357,9.420079
Flensburg HLA/Wirtschaftsschule,54.783362,9.420221
Flensburg HLA/Wirtschaftsschule,54.783362,9.420221
Flensburg Hafendamm,54.790787,9.438471
Flensburg Hafendamm,54.790787,9.438471
Flensburg Hafendamm,54.790779,9.438424
Flensburg Hafermarkt,54.783322,9.443444
Flensburg Hafermarkt,54.783575,9.44376
Flensburg Hafermarkt,54.783399,9.44396
Flensburg Hafermarkt,54.783137,9.442804
Flensburg Harrisleer Kreuz,54.799393,9.410059
Flensburg Harrisleer Kreuz,54.799393,9.410059
Flensburg Harrisleer Kreuz,54.799347,9.410151
Flensburg Harrisleer Straße,54.798935,9.417715
Flensburg Harrisleer Straße,54.798935,9.417715
Flensburg Harrisleer Straße,54.798912,9.417824
Flensburg Heidebogen,54.761644,9.379396
Flensburg Heidebogen,54.761644,9.379396
Flensburg Heideweg,54.756827,9.390757
Flensburg Heideweg,54.756827,9.390757
Flensburg Heideweg,54.756845,9.390733
Flensburg Hesttoft-Nord,54.796404,9.464824
Flensburg Hesttoft-Nord,54.796404,9.464824
Flensburg Hesttoft-Nord,54.796405,9.464818
Flensburg Hildebrandstraße,54.807701,9.467251
Flensburg Hildebrandstraße,54.807565,9.467529
Flensburg Hildebrandstraße,54.807846,9.466972
Flensburg Schulgang,54.784676,9.447346
Flensburg Schulgang,54.784676,9.447346
Flensburg Holzkrugweg,54.758051,9.396401
Flensburg Holzkrugweg,54.758086,9.396316
Flensburg Holzkrugweg,54.758023,9.3963
Flensburg Jens-Jessen-Skolen,54.807619,9.458117
Flensburg Jens-Jessen-Skolen,54.807619,9.458117
Flensburg Johannismühle,54.781032,9.449136
Flensburg Johannismühle,54.78103,9.449109
Flensburg Johannismühle,54.781036,9.449169
Flensburg Junkerhohlweg,54.798274,9.425461
Flensburg Junkerhohlweg,54.798274,9.425461
Flensburg Junkerhohlweg,54.798411,9.425161
