Gewässer,Name allg. gebr.,Kategorie,Badestellenlänge,Kreis Name,Längengrad,Breitengrad,Mögliche Belastungen,Barrierefrei,Wlan,ÖPNV,Baden ohne Aufsicht,Baden m. zeitw. Aufsicht,Eintritt,Liegeplätze ohne Schatten,Liegeplätze mit Schatten,Toiletten,Dusche,Umkleiden,Parken ohne Gebühren,Parken mit Gebühren,Strandkorbverleih,Campingplatz,Spielplatz,Gaststätte,Kiosk,Rudern,Tretboot,Surfen,Segeln,FKK-Strand,Hundestrand,Grillplatz
DESH_PR_0013,Neumünster Gartenstadt,See,500,"Neumünster, Stadt",9.93035255375043,54.0965947651116,Cyanobakterien (Blaualgen) und Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0014,Wesselburenerkoog,Küstengewässer,260,Dithmarschen,8.84101371405547,54.2551457035535,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein
DESH_PR_0015,"Westerdeichstrich, Stinteck",Küstengewässer,650,Dithmarschen,8.82199946213562,54.1570134130883,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja
DESH_PR_0019,Nordermeldorf,Küstengewässer,580,Dithmarschen,8.94137499454695,54.110983149862,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0022,Hedwigenkoog,Küstengewässer,2070,Dithmarschen,8.80889126288578,54.1818452065989,,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
DESH_PR_0033,Schaalsee Groß Zecher,See,20,Herzogtum Lauenburg,10.9108343023569,53.5980841226867,Cyanobakterien (Blaualgen) und Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0036,Forellensee Witzeeze,See,100,Herzogtum Lauenburg,10.6312823650603,53.4651010361742,Cyanobakterien (Blaualgen) und Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0037,Prüßsee Yachthafen,See,250,Herzogtum Lauenburg,10.6893950810265,53.527316768622,Cyanobakterien (Blaualgen) und Zerkarien,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0038,Prüßsee Badeinsel,See,250,Herzogtum Lauenburg,10.6844228615059,53.5293226209872,Cyanobakterien (Blaualgen) und Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0040,Tonteich Sachsenwald,See,30,Herzogtum Lauenburg,10.2742183097271,53.512789540264,Cyanobakterien (Blaualgen) und Zerkarien,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
